Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,distribution Latitide,distribution Longitude
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,2016-02-04 00:00:00.000,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,0.003228383,0.020610186
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,2017-03-04 00:00:00.000,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,-0.002156233,0.023429469
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,2016-06-04 00:00:00.000,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,0.005920691,0.022583684
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,2016-05-07 00:00:00.000,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,0.024382229,0.037243961
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,2016-10-08 00:00:00.000,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,0.010536075,0.026248753
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,2016-10-08 00:00:00.000,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,0.029766844,0.036116247
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,2016-11-12 00:00:00.000,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,0.000920691,0.029068037
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,2016-11-12 00:00:00.000,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,0.003612998,0.029349966
Abbotsford,16 William St,2,h,1310000,S,Jellis,2016-10-15 00:00:00.000,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,-0.001002386,0.032451178
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,2016-07-16 00:00:00.000,2.5,3067,3,2,1,113,110,1880,Yarra,-37.8056,144.993,0.012074537,0.019482472
