Suburb,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Price
Abbotsford,2,h,S,Biggin,2016-02-04 00:00:00.000,2.5,3067,2,1,0,156,79,1900,Yarra,1035000
Abbotsford,3,h,SP,Biggin,2017-03-04 00:00:00.000,2.5,3067,3,2,0,134,150,1900,Yarra,1465000
Abbotsford,4,h,VB,Nelson,2016-06-04 00:00:00.000,2.5,3067,3,1,2,120,142,2014,Yarra,1600000
Abbotsford,3,h,S,Nelson,2016-05-07 00:00:00.000,2.5,3067,4,2,0,245,210,1910,Yarra,1876000
Abbotsford,2,h,S,Nelson,2016-10-08 00:00:00.000,2.5,3067,2,1,2,256,107,1890,Yarra,1636000
Abbotsford,2,h,S,Biggin,2016-10-08 00:00:00.000,2.5,3067,3,1,2,220,75,1900,Yarra,1097000
Abbotsford,3,h,VB,Nelson,2016-11-12 00:00:00.000,2.5,3067,3,2,2,214,190,2005,Yarra,1350000
Abbotsford,2,u,S,Biggin,2016-11-12 00:00:00.000,2.5,3067,2,2,1,0,94,2009,Yarra,750000
Abbotsford,2,h,S,Jellis,2016-10-15 00:00:00.000,2.5,3067,2,1,2,238,97,1890,Yarra,1310000
Abbotsford,3,h,S,Jellis,2016-07-16 00:00:00.000,2.5,3067,3,2,1,113,110,1880,Yarra,1200000
Abbotsford,3,h,S,LITTLE,2016-07-16 00:00:00.000,2.5,3067,2,1,1,138,105,1890,Yarra,1176500
Abbotsford,2,h,S,Biggin,2016-09-17 00:00:00.000,2.5,3067,2,1,1,150,73,1985,Yarra,890000
Abbotsford,4,h,PI,Kay,2017-03-18 00:00:00.000,2.5,3067,4,2,2,780,135,1900,Yarra,1330000
Abbotsford,2,u,S,Collins,2016-06-18 00:00:00.000,2.5,3067,2,1,1,0,60,1970,Yarra,500000
Abbotsford,2,h,PI,Biggin,2016-06-18 00:00:00.000,2.5,3067,2,2,1,124,135,2013,Yarra,1100000
Abbotsford,2,h,S,Marshall,2016-11-19 00:00:00.000,2.5,3067,2,1,0,147,85,1900,Yarra,1315000
Abbotsford,3,h,PI,Nelson,2016-08-22 00:00:00.000,2.5,3067,3,3,1,166,174,2012,Yarra,1447500
Abbotsford,2,h,S,Nelson,2016-08-22 00:00:00.000,2.5,3067,2,2,2,98,128,1920,Yarra,1135000
Abbotsford,3,h,S,Biggin,2017-02-25 00:00:00.000,2.5,3067,3,1,1,168,124,1950,Yarra,1290000
Abbotsford,1,u,S,Nelson,2016-07-26 00:00:00.000,2.5,3067,1,1,1,0,50,2013,Yarra,470000
Abbotsford,2,h,S,Jellis,2016-11-27 00:00:00.000,2.5,3067,2,1,0,162,91,1900,Yarra,1180000
Abbotsford,3,h,SP,Jellis,2016-11-27 00:00:00.000,2.5,3067,3,2,1,120,128,1998,Yarra,1195000
Abbotsford,2,h,S,Nelson,2016-05-28 00:00:00.000,2.5,3067,2,1,0,182,82,1900,Yarra,1012500
Abbotsford,2,h,S,Biggin,2016-07-30 00:00:00.000,2.5,3067,2,1,1,172,81,1930,Yarra,1030000
Airport West,3,t,PI,Nelson,2016-09-03 00:00:00.000,13.5,3042,3,2,1,303,225,2016,Moonee Valley,840000
Airport West,3,h,VB,Nelson,2016-12-03 00:00:00.000,13.5,3042,3,2,1,0,145,1965,Moonee Valley,730000
Airport West,3,h,SP,Nelson,2017-03-04 00:00:00.000,13.5,3042,3,2,1,0,145,1965,Moonee Valley,770000
