Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Price
South Melbourne,50 Bridport St,2,h,PI,Greg,16/04/2016 0:00,2.1,3205,2,2,1,141,150,1900,Port Phillip,-37.8389,144.9612,2000000
Albert Park,6 Brooke St,2,h,S,Greg,28/05/2016 0:00,3.3,3206,2,1,0,79,68,1890,Port Phillip,-37.8387,144.9519,980000
South Melbourne,16 Tribe St,3,h,S,Cayzer,15/10/2016 0:00,2.1,3205,3,2,1,161,141,1890,Port Phillip,-37.8383,144.9499,2000000
South Melbourne,296 Albert Rd,3,h,S,Marshall,18/06/2016 0:00,2.1,3205,3,2,2,151,153,1900,Port Phillip,-37.8383,144.9632,1825000
South Yarra,9/18 Kensington Rd,2,u,S,Biggin,15/10/2016 0:00,3.3,3141,2,1,1,2122,64,1960,Stonnington,-37.8383,145.0014,693000
South Melbourne,38 Tribe St,3,h,S,Marshall,04/03/2017 0:00,2.1,3205,3,1,0,276,119,1900,Port Phillip,-37.838,144.9489,2633000
Toorak,296A Williams Rd,3,h,PI,Marshall,11/03/2017 0:00,4.6,3142,3,2,4,1317,228,2000,Stonnington,-37.838,145.0054,2840000
South Yarra,15/9 Darling St,2,u,SA,Williams,04/03/2017 0:00,3.3,3141,2,2,2,0,38,2015,Stonnington,-37.8379,144.9913,990000
South Melbourne,352 Moray St,4,h,PI,Marshall,07/05/2016 0:00,2.1,3205,5,3,0,190,232,1856,Port Phillip,-37.8377,144.9653,2260000
South Yarra,18 Avoca St,4,h,S,Castran,12/11/2016 0:00,3.3,3141,4,2,0,292,272,1880,Stonnington,-37.8377,144.9894,5700000
South Yarra,2/1 Walsh St,2,u,PI,Williams,08/10/2016 0:00,3.3,3141,2,2,2,0,107,1986,Melbourne,-37.8376,144.9847,1300000
South Yarra,6/1 Walsh St,2,u,PI,Williams,08/10/2016 0:00,3.3,3141,2,2,1,0,107,1980,Melbourne,-37.8376,144.9847,1300000
South Yarra,18/33 Kensington Rd,1,u,SP,hockingstuart,12/11/2016 0:00,3.3,3141,1,1,1,0,44,1970,Stonnington,-37.8375,145.0012,515000
Toorak,28 Bruce St,3,h,SP,Castran,28/05/2016 0:00,4.6,3142,3,3,2,575,205,1930,Stonnington,-37.8375,145.0092,2250000
South Yarra,8/18 Darling St,2,u,S,hockingstuart,04/03/2017 0:00,3.3,3141,2,1,1,0,64,1970,Stonnington,-37.8374,144.9918,535000
South Melbourne,25 Mountain St,3,h,S,hockingstuart,04/03/2017 0:00,2.1,3205,3,1,0,149,104,1900,Port Phillip,-37.8374,144.9495,1270000
Toorak,7/36 Grange Rd,1,u,S,Jellis,15/10/2016 0:00,4.6,3142,1,1,1,0,57,1970,Stonnington,-37.8373,145.0116,541000
South Melbourne,203/196 Albert Rd,2,u,VB,Marshall,17/09/2016 0:00,2.1,3205,2,2,2,0,122,2001,Port Phillip,-37.8372,144.9672,1050000
Toorak,11/38 Grange Rd,3,u,S,hockingstuart,18/03/2017 0:00,4.6,3142,3,1,1,57,107,1960,Stonnington,-37.8371,145.012,950000
Toorak,4/8 Bruce St,2,u,S,RT,06/08/2016 0:00,4.6,3142,2,2,2,0,109,1970,Stonnington,-37.8371,145.0066,925000
South Yarra,1107/12 Yarra St,1,u,PI,Biggin,13/08/2016 0:00,3.3,3141,1,1,1,0,56,2007,Stonnington,-37.837,144.9931,425000
South Yarra,4/30 Murphy St,2,u,S,Williams,25/02/2017 0:00,3.3,3141,2,1,1,0,70,1970,Stonnington,-37.837,144.9907,680500
South Melbourne,13/182 Albert Rd,2,u,S,hockingstuart,07/11/2016 0:00,2.1,3205,2,1,1,0,76,2004,Port Phillip,-37.8369,144.968,595000
Toorak,1/21 Bruce St,1,u,PI,Williams,07/05/2016 0:00,4.6,3142,1,1,1,0,38,1958,Stonnington,-37.8369,145.0077,349000
Toorak,13 Bruce St,3,h,VB,Castran,19/11/2016 0:00,4.6,3142,3,2,1,268,139,1900,Stonnington,-37.8369,145.0072,1900000
South Yarra,20/30 Mona Pl,2,u,SP,hockingstuart,04/06/2016 0:00,3.3,3141,2,1,1,0,73,1960,Melbourne,-37.8368,144.9857,572000
South Yarra,22/49 Walsh St,1,u,S,hockingstuart,19/11/2016 0:00,3.3,3141,1,1,1,0,56,1970,Melbourne,-37.8368,144.9848,567500
South Yarra,49 Leopold St,4,h,PI,Williams,18/03/2017 0:00,3.3,3141,4,2,2,141,127,1880,Melbourne,-37.8366,144.9827,2600000
South Melbourne,144 Cobden St,3,h,PI,Greg,04/06/2016 0:00,2.1,3205,3,1,1,181,117,1880,Port Phillip,-37.8365,144.9631,1405000
South Melbourne,24 Lyell St,3,h,VB,Greg,17/09/2016 0:00,2.1,3205,3,2,1,108,125,1890,Port Phillip,-37.8363,144.9509,1250000
South Melbourne,157 Napier St,3,h,SP,Marshall,03/09/2016 0:00,2.1,3205,3,2,1,88,93,1890,Port Phillip,-37.8363,144.9628,1600000
South Yarra,7/32 Marne St,2,u,PI,Kay,04/03/2017 0:00,3.3,3141,2,1,0,0,79,1930,Melbourne,-37.8361,144.9842,695000
South Yarra,76 Leopold St,3,h,PI,Marshall,12/11/2016 0:00,3.3,3141,3,2,1,215,200,1910,Melbourne,-37.8361,144.9831,2695000
South Yarra,202/800 Chapel St,2,u,S,Beller,25/02/2017 0:00,3.3,3141,2,2,1,0,92,2002,Stonnington,-37.8361,144.9966,840000
South Yarra,70 Park St,3,h,VB,Marshall,15/10/2016 0:00,3.3,3141,3,3,2,191,175,1890,Melbourne,-37.836,144.9824,3000000
South Melbourne,315 Moray St,4,h,S,Marshall,10/12/2016 0:00,2.1,3205,4,3,1,200,153,1860,Port Phillip,-37.836,144.965,2180000
South Melbourne,248 Montague St,3,h,VB,Marshall,17/09/2016 0:00,2.1,3205,3,2,0,204,195,1890,Port Phillip,-37.8357,144.9531,1650000
South Melbourne,18a Iffla St,4,h,S,Marshall,22/05/2016 0:00,2.1,3205,4,3,2,577,220,2009,Port Phillip,-37.8357,144.9502,1615000
South Yarra,3/38 Arnold St,1,u,S,hockingstuart,22/05/2016 0:00,3.3,3141,1,1,1,480,53,1930,Melbourne,-37.8356,144.9767,540000
South Yarra,14/85 Caroline St,1,u,S,hockingstuart,18/06/2016 0:00,3.3,3141,1,1,1,0,45,1960,Stonnington,-37.8355,144.9884,400000
South Melbourne,396 Dorcas St,4,h,S,Greg,03/12/2016 0:00,2.1,3205,4,2,0,163,153,1890,Port Phillip,-37.8355,144.951,1620000
South Melbourne,372 Dorcas St,3,h,S,RT,24/09/2016 0:00,2.1,3205,3,2,2,0,260,1877,Port Phillip,-37.8352,144.952,2300000
South Melbourne,46 Cobden St,3,h,PI,Greg,22/05/2016 0:00,2.1,3205,3,2,1,138,138,1998,Port Phillip,-37.8351,144.9675,1390000
South Yarra,19/47 Rockley Rd,2,u,VB,Abercromby's,22/08/2016 0:00,3.3,3141,2,1,1,0,73,1980,Stonnington,-37.835,145.0002,500000
Toorak,23 Canberra Rd,4,h,PI,RT,15/10/2016 0:00,4.6,3142,4,3,2,732,367,1980,Stonnington,-37.8349,145.01,4500000
South Melbourne,25 Cobden St,3,h,VB,Greg,13/08/2016 0:00,2.1,3205,3,2,0,113,120,1910,Port Phillip,-37.8346,144.9688,1200000
South Melbourne,22A Cobden St,2,h,SP,Cayzer,11/02/2017 0:00,2.1,3205,2,1,0,115,76,1900,Port Phillip,-37.8345,144.9685,930000
Toorak,4/83 Grange Rd,3,t,VB,Kay,15/10/2016 0:00,4.6,3142,3,2,2,117,214,2000,Stonnington,-37.8343,145.0112,1550000
South Yarra,19/110 Caroline St,2,u,PI,Williams,08/10/2016 0:00,3.3,3141,2,1,1,0,75,1960,Stonnington,-37.8343,144.9899,780000
South Yarra,9/210 Domain Rd,2,u,S,Jellis,28/08/2016 0:00,3.3,3141,2,1,1,0,79,1970,Melbourne,-37.8342,144.9842,826000
South Melbourne,806/50 Albert Rd,2,u,S,Dingle,03/09/2016 0:00,2.1,3205,2,2,1,0,83,2012,Port Phillip,-37.8341,144.9713,593000
South Melbourne,1901/50 Albert Rd,2,u,S,Dingle,07/11/2016 0:00,2.1,3205,2,1,1,0,56,2013,Port Phillip,-37.8341,144.9713,490000
South Yarra,13/4 Gordon Gr,2,u,S,Ray,27/06/2016 0:00,3.3,3141,2,1,1,0,61,1965,Stonnington,-37.8337,144.9886,480000
South Yarra,15/2 Gordon Gr,2,u,S,Jellis,17/09/2016 0:00,3.3,3141,2,1,2,0,72,1970,Stonnington,-37.8336,144.9882,600000
South Yarra,12 Witchwood Cl,3,t,PI,hockingstuart,04/06/2016 0:00,3.3,3141,2,2,1,181,148,1990,Melbourne,-37.8334,144.9867,1460000
South Yarra,12 Witchwood Cl,3,h,SP,Biggin,28/08/2016 0:00,3.3,3141,2,2,1,181,148,1990,Melbourne,-37.8334,144.9867,1700000
South Melbourne,164 Cecil St,3,h,S,Marshall,27/11/2016 0:00,2.1,3205,3,2,0,141,163,1890,Port Phillip,-37.8333,144.9576,2075000
Richmond,12/200 Brighton St,2,u,S,Jellis,10/09/2016 0:00,2.6,3121,2,1,2,0,68,1997,Yarra,-37.8333,144.998,695000
Richmond,10/200 Brighton St,2,u,S,Woodards,19/11/2016 0:00,2.6,3121,2,1,1,0,70,1993,Yarra,-37.8333,144.998,646000
Toorak,4 Matthews Ct,3,h,PI,Kay,10/12/2016 0:00,4.6,3142,3,2,2,600,205,1967,Stonnington,-37.8332,145.0117,2820000
Richmond,704/8 Howard St,3,u,SP,Nelson,14/05/2016 0:00,2.6,3121,3,2,1,0,120,2005,Yarra,-37.8331,144.9975,760000
Richmond,104/8 Howard St,1,u,VB,RT,27/11/2016 0:00,2.6,3121,1,1,1,0,50,2005,Yarra,-37.8331,144.9975,385000
South Melbourne,247 York St,3,h,S,Greg,08/10/2016 0:00,2.1,3205,3,2,0,224,113,1890,Port Phillip,-37.8329,144.9529,1250000
Toorak,1/3 Glover Ct,3,h,S,RT,03/12/2016 0:00,4.6,3142,3,1,0,889,135,1943,Stonnington,-37.8328,145.0065,1435000
South Yarra,4/943 Punt Rd,2,u,SP,hockingstuart,26/07/2016 0:00,3.3,3141,2,1,1,0,62,1890,Melbourne,-37.8323,144.9876,520000
South Melbourne,5/38 Bank St,3,u,SP,Greg,27/11/2016 0:00,2.1,3205,3,2,2,0,90,2003,Port Phillip,-37.8319,144.9682,742000
South Yarra,1/949 Punt Rd,1,u,SP,hockingstuart,23/04/2016 0:00,3.3,3141,1,1,1,0,37,1970,Melbourne,-37.8319,144.9876,310000
South Yarra,4/957 Punt Rd,2,u,SP,Jellis,07/11/2016 0:00,3.3,3141,2,1,1,0,77,1940,Melbourne,-37.8314,144.9877,659000
Cremorne,175 Dover St,2,t,S,hockingstuart,24/09/2016 0:00,2.5,3121,2,1,1,151,151,1998,Yarra,-37.8311,144.9914,1010000
South Melbourne,1009/148 Wells St,2,u,S,MICM,18/03/2017 0:00,2.1,3205,2,1,1,0,78,2001,Port Phillip,-37.8308,144.9694,561000
Cremorne,301/163 Cremorne St,1,u,PI,hockingstuart,06/08/2016 0:00,2.5,3121,1,1,1,0,52,2007,Yarra,-37.8301,144.9904,425000
Southbank,601/65 Coventry St,2,u,S,hockingstuart,22/05/2016 0:00,1.2,3006,2,2,1,2955,67,2013,Melbourne,-37.8299,144.9679,622500
Richmond,58 Rooney St,2,h,S,Biggin,17/09/2016 0:00,2.6,3121,2,1,2,200,90,1900,Yarra,-37.8294,145.0029,1045000
Burnley,154 Stawell St,3,h,S,Jellis,25/02/2017 0:00,3.5,3121,3,1,0,182,102,1890,Yarra,-37.8289,145.0089,1435000
Cremorne,12 Melrose St,3,h,S,Biggin,28/05/2016 0:00,2.5,3121,2,2,2,138,108,2001,Yarra,-37.8288,144.9891,1300000
Southbank,2/66 Coventry St,2,u,S,RT,19/11/2016 0:00,1.2,3006,2,1,1,0,77,2000,Melbourne,-37.8288,144.9679,660000
Burnley,148 Stawell St,2,h,S,Jellis,24/09/2016 0:00,3.5,3121,2,1,1,149,77,1900,Yarra,-37.8287,145.0089,1202500
Richmond,255 Coppin St,3,h,PI,Jellis,08/10/2016 0:00,2.6,3121,3,1,2,204,128,1900,Yarra,-37.8285,145.0022,1275000
Burnley,12 Loyola Gr,2,h,SP,Jellis,10/12/2016 0:00,3.5,3121,2,1,2,225,119,1910,Yarra,-37.8285,145.0125,1231010
Richmond,52 Brighton St,2,h,S,Biggin,07/05/2016 0:00,2.6,3121,2,2,1,220,131,1920,Yarra,-37.8284,144.9989,1506000
Burnley,92 Madden Gr,2,h,SP,Jellis,16/04/2016 0:00,3.5,3121,2,1,1,172,94,1900,Yarra,-37.8283,145.012,881000
Cremorne,66 Green St,3,h,S,Biggin,27/11/2016 0:00,2.5,3121,3,1,1,326,100,1890,Yarra,-37.8283,144.9946,1300000
Cremorne,72 Cubitt St,2,h,S,hockingstuart,04/06/2016 0:00,2.5,3121,2,1,2,176,114,1920,Yarra,-37.8281,144.9923,1000000
Southbank,7/100 Wells St,3,u,VB,Greg,16/07/2016 0:00,1.2,3006,3,2,1,0,105,1994,Port Phillip,-37.828,144.9683,740000
Southbank,208/102 Wells St,2,u,S,Greg,07/11/2016 0:00,1.2,3006,2,2,1,0,99,1995,Melbourne,-37.828,144.9683,600000
Richmond,1/7 Sanders Pl,3,t,S,Jellis,25/02/2017 0:00,2.6,3121,3,3,2,119,184,2005,Yarra,-37.8278,144.9984,1582000
Cremorne,443 Punt Rd,3,h,S,Biggin,07/11/2016 0:00,2.5,3121,3,2,2,324,165,1880,Yarra,-37.8278,144.9885,1280000
Cremorne,443 Punt Rd,3,h,PI,Biggin,10/09/2016 0:00,2.5,3121,3,2,2,324,165,1880,Yarra,-37.8278,144.9885,1475000
